trans_date_trans_time,year,month,day,time,cc_num,card_network,user_id,card_id,payment_method,merchant,category,mcc,amount,first,last,gender,street,city,state,zip,region,lat,long,city_pop,job,income,dob,trans_num,unix_time,merch_lat,merch_long,is_foreign,errors,is_fraud,is_anomaly,days_since_last_transaction,transaction_amount_delta
08-01-2023 12:53,2023,1,8,12:53,4027201288577493,Visa,21393,213931,Swipe Transaction,Leon,restaurant,5814,367.22,Roger,Howard,M,70 Anna centers,Smithtown,Richardsville,PL3 1ZD,EU,55.32333755721011,4.922561529500262,93488,Cashier,34608,30-10-1974,326ccee575f8dba3b98b70360f4e688d,1673162622,-15.0115186312417,-44.87627970374055,0,,1,0,46.0090625,326.43
08-05-2022 06:49,2022,5,8,06:49,4730618204104309,Visa,38730,387303,Swipe Transaction,Unknown-Salazar-Ball,retail,5734,768.23,Benjamin,Mendoza,M,74361 Matthew Haven,Port Donna,GU,94438,US,47.296298361655225,-124.288334435441,74254,Warehouse Worker,32911,24-01-1964,b2d9141204ac1d81504bf03c41620798,1651972785,-47.08722082726682,-58.496201676089655,1,,1,0,6.703923611111111,721.25
04-11-2020 19:03,2020,11,4,19:03,5355122363204271,Mastercard,30802,308022,Swipe Transaction,Unknown-Gomez-Jenkins,grocery_pos,5441,0.47,Kimberly,Macias,F,1965 Dawn Shoal Apt. 026,Mendezton,WY,27253,US,43.089421150176065,-112.46944280797798,58993,Project Manager,124754,27-09-2006,eb9c23899d076d0eee869e0bddcd8dbe,1604496787,-9.407178157114679,76.7441713985877,1,,1,0,17.99452546296296,-81.22
16-01-2021 13:12,2021,1,16,13:12,2388722261365350,Mastercard,39015,390150,Online Transaction,Unknown-Bailey-Cook,online_shopping,5968,86.98,Bernardo,Diego,M,Callejón de Celestina Ramis 76,Cádiz,Pontevedra,21815,EU,36.71645118934659,20.238861016738703,86160,Investment Banker,253017,28-07-1953,13652df33675b51abe7575dc3aa13610,1610782971,18.07936196514018,-96.52127670483125,1,Connection Timeout,1,0,53.7878587962963,18.5
05-09-2022 19:00,2022,9,5,19:00,4911923995512876,Visa,29396,293962,Swipe Transaction,"Unknown-Watts, Robinson and Nguyen",online_shopping,5968,233.32,Kevin,Sawyer,M,532 Hannah Alley Apt. 339,North Annette,KY,01465,US,30.788651255284556,-79.01234836954418,90907,Teacher,35067,31-07-1996,0763a44525175ea8f335ee77bd5138bd,1662384645,-37.81005793251972,-56.236248127153566,1,Card Limit Exceeded,1,0,15.475381944444445,174.34
08-04-2023 15:55,2023,4,8,15:55,2607140047356850,Mastercard,17497,174971,Online Transaction,"Unknown-West, Henderson and Ramirez",retail,5331,753.11,Charles,Cooley,M,47726 Davis Path,Mitchellhaven,SD,41583,US,29.206828969717296,-80.06250386496316,24569,Food Service Worker,20251,05-08-2003,a795a220e4a28fd87bb640eab83e5bb2,1680949516,-17.05536607884278,97.0971445345221,1,,1,0,68.03974537037037,656.24
24-12-2022 10:25,2022,12,24,10:25,5522348364660340,Mastercard,21299,212993,Swipe Transaction,Giant Eagle,grocery_pos,5441,73.17,Karla,Allen,F,115 Pham Fords,Port Ryanmouth,AR,10771,US,42.56714703902675,-94.18943277030243,68142,Food Service Worker,20431,30-07-1984,08b7c356e3443ee81fb4d57d462a4bf6,1671857753,-40.641119188800296,-36.97957587852187,0,,1,0,20.942210648148148,63.17
23-06-2022 17:27,2022,6,23,17:27,4315251883778487,Visa,29347,293470,Online Transaction,American Outlet,health,8021,5.0,Richard,Donovan,M,431 Matthew Mill Suite 103,Lake Kendramouth,MA,75640,US,45.65779038647985,-102.4377721035688,359716,Cashier,26002,23-04-1989,af1d3c1ae370119989d0791f30e9f965,1655985428,45.682492259291536,-102.49998278968029,0,,1,0,68.28953703703704,-72.75
31-08-2022 08:19,2022,8,31,08:19,4007667014153458,Visa,12583,125832,Contactless Payment,"Unknown-Mckee, Gardner and Davenport",gas_transport,4121,42.18,Wendy,Singh,F,38774 Sweeney Grove Apt. 850,West Emily,AK,37525,US,25.061164169639856,-101.50414158393184,160000,Food Service Worker,27273,24-07-1953,ad6996d7a8d4d6708a7a2ebd4fda6126,1661914199,25.24302300468919,-101.58680698244886,0,,1,0,15.688032407407407,3.6899999999999977
18-03-2022 16:49,2022,3,18,16:49,2237537503211131,Mastercard,37021,370210,Online Transaction,Eastern Market,services,7216,406.32,예지,김,F,전라남도 안산시 상록구 도산대3길 875-10 (영자송마을),보은군,철원군,47254,APAC,-24.13373312714327,82.53683777899747,202344,Janitor,34658,22-01-1942,217928aa475d2e9336ce1239480f7f65,1647602386,-24.12374062209732,82.4509539510387,0,,1,0,60.21712962962963,319.6
26-06-2020 16:38,2020,6,26,16:38,4895060089075036,Visa,49540,495400,Online Transaction,Southern Store,services,4899,59.3,Frank,Knight,M,2231 Carter Well Apt. 817,East Lisa,MN,68089,US,42.59151967343114,-123.98651713533359,65174,Call Center Representative,19570,26-11-1988,1d20238b162c6562297102aa069eb2f0,1593169739,21.78493105421269,131.72976220536947,1,,1,0,71.31741898148148,-57.760000000000005
13-04-2022 19:49,2022,4,13,19:49,4809314439572875,Visa,54361,543610,Swipe Transaction,Continental Store,travel,3007,487.38,霞,赵,F,北京街R座,磊市,平市,780886,APAC,4.068628174651657,72.73611907002937,1004126,Electrician,58174,30-09-1966,773f475d0243f6f906d89fc066fc6967,1649859546,35.783423291720496,-86.59046696491637,1,,1,0,7.304594907407408,192.58999999999997
